Date,Campaign ID,Keyword,Cost,CPC
2021-11-01,1646440683,TvCO internet,-200842,2130.23
2021-12-21,1646440683,TvCO internet,-203832,2132.03
2021-09-10,1646440683,internet TvCO,-205350,4082.83
2021-09-08,1646440683,TvCO tv,-203335,2382.11
2021-09-04,1646440683,internet TvCO,-202482,4221.12
2021-09-15,1646440648,planes TvCO hogar,-212024,2140.28
2021-11-27,14832003666,numero TvCO,-212381,1811.32
2021-10-14,1646440683,internet TvCO,-213521,3281.03
2021-12-09,14832003666,numero TvCO,-220102,1433
2021-12-06,1646440683,TvCO internet,-223315,1923.31
2021-11-02,1646440683,TvCO internet,-224133,2212.09
2021-09-13,1646440683,internet TvCO hogar,-225103,1223.31
2021-10-11,1646440683,internet TvCO hogar,-225154,4142.11
2021-12-10,14832003666,numero TvCO,-225432,1439.21
2021-09-14,1646440683,internet TvCO hogar,-221505,4432.23
2021-09-16,1646440683,TvCO internet,-221251,2121.32
2021-11-03,1646440683,internet TvCO hogar,-223842,4111.22
2021-09-13,1646440683,TvCO tv,-232133,2994.42
2021-09-06,1646440648,planes TvCO hogar,-233100,3119.28
2021-10-07,1646440648,planes TvCO hogar,-234232,2291.1
2021-12-22,1646440683,TvCO internet,-235122,1932.24
2021-12-29,1646440683,TvCO internet,-235214,2013.2
2021-10-05,1646440683,internet TvCO,-233223,3901.13
2021-10-12,1646440683,internet TvCO,-238111,3118.21
2021-09-10,1646440683,TvCO tv,-238133,2213.99
2021-10-04,1646440683,internet TvCO,-240201,2901.28
2021-12-22,1646440683,televisión TvCO hogar,-240804,1291.39
2021-12-28,1646440683,televisión TvCO hogar,-243238,2133.08
2021-09-02,1646440683,internet TvCO hogar,-244533,4118.31
2021-12-20,1646440683,televisión TvCO hogar,-241214,2202.91
2021-09-06,1646440683,TvCO internet hogar precios,-241551,4180.12
2021-11-20,1646440683,TvCO internet,-243123,2193.34
2021-11-04,1646440683,internet hogar TvCO,-242113,1012.2
2021-10-16,1646440683,TvCO internet,-250138,2112.89
2021-10-27,14832003666,numero TvCO,-251381,1313.31
2021-12-07,14832003666,numero TvCO,-252020,1421.31
2021-12-15,1646440683,televisión TvCO hogar,-252823,2393.43
2021-09-12,1646440683,TvCO tv,-253042,2002.82
2021-12-10,1646440683,TvCO internet,-255181,2082.14
2021-09-03,1646440683,internet hogar TvCO,-251448,4382.3
2021-12-03,14832003666,numero TvCO,-253538,1199.9
2021-09-11,1646440683,TvCO tv,-258138,2193.92
2021-09-30,1646440648,planes TvCO hogar,-258212,2212.41
2021-12-27,1646440683,TvCO internet,-213420,1901.91
2021-12-11,1646440683,TvCO internet,-211413,1922.32
2021-10-08,1646440683,internet TvCO hogar,-213121,3312.31
2021-12-19,1646440683,televisión TvCO hogar,-213823,1311.3
2021-10-14,1646440683,TvCO tv,-212515,1211.12
